id,added_at,album_type,artist,name,personal_type,popularity,release_date,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
4x0pNOZ5r6kJMjsvsoliBm,2018-09-14T00:10:06Z,single,Mallrat,In The Sky,favourite,66,2018-06-01,0.127,https://api.spotify.com/v1/audio-analysis/4x0pNOZ5r6kJMjsvsoliBm,0.688,217285,0.539,4.16e-05,0,0.116,-8.587,1,0.0353,115.964,4,https://api.spotify.com/v1/tracks/4x0pNOZ5r6kJMjsvsoliBm,audio_features,spotify:track:4x0pNOZ5r6kJMjsvsoliBm,0.207
3zxQkywixlKEVE7QO74ceR,2018-09-14T00:10:06Z,single,Mansionair,Falling,favourite,32,2018-09-12,0.613,https://api.spotify.com/v1/audio-analysis/3zxQkywixlKEVE7QO74ceR,0.532,203312,0.618,2.14e-05,11,0.176,-7.658,1,0.0399,123.757,4,https://api.spotify.com/v1/tracks/3zxQkywixlKEVE7QO74ceR,audio_features,spotify:track:3zxQkywixlKEVE7QO74ceR,0.109
1eiDjkNOwX9LeSkSAGCA5a,2018-09-14T00:10:06Z,single,Robinson,Don't Trust Myself,favourite,67,2018-07-26,0.432,https://api.spotify.com/v1/audio-analysis/1eiDjkNOwX9LeSkSAGCA5a,0.61,169435,0.477,0.000513,7,0.0964,-7.895,0,0.0362,109.047,4,https://api.spotify.com/v1/tracks/1eiDjkNOwX9LeSkSAGCA5a,audio_features,spotify:track:1eiDjkNOwX9LeSkSAGCA5a,0.131
5QskYLFPX9y7pLU0VEMNbr,2018-09-14T00:10:06Z,album,Shawn Mendes,Shawn Mendes,favourite,73,2018-05-25,0.809,https://api.spotify.com/v1/audio-analysis/5QskYLFPX9y7pLU0VEMNbr,0.736,159400,0.45,0.0,2,0.108,-9.406,1,0.228,153.888,4,https://api.spotify.com/v1/tracks/5QskYLFPX9y7pLU0VEMNbr,audio_features,spotify:track:5QskYLFPX9y7pLU0VEMNbr,0.663
6kO3XW7HIUFiMUG3sYPQic,2018-09-14T00:10:06Z,single,JOY.,Change,favourite,58,2018-02-15,0.797,https://api.spotify.com/v1/audio-analysis/6kO3XW7HIUFiMUG3sYPQic,0.498,222930,0.355,0.00315,7,0.144,-9.086,1,0.0279,99.846,4,https://api.spotify.com/v1/tracks/6kO3XW7HIUFiMUG3sYPQic,audio_features,spotify:track:6kO3XW7HIUFiMUG3sYPQic,0.0845
384HffL6jMq0I1tX8uHF4R,2018-09-14T00:10:06Z,single,Thomston,Acid Rain,favourite,64,2018-06-08,0.188,https://api.spotify.com/v1/audio-analysis/384HffL6jMq0I1tX8uHF4R,0.627,190588,0.38,0.0,7,0.103,-11.484,1,0.124,135.818,4,https://api.spotify.com/v1/tracks/384HffL6jMq0I1tX8uHF4R,audio_features,spotify:track:384HffL6jMq0I1tX8uHF4R,0.431
0u2P5u6lvoDfwTYjAADbn4,2018-09-14T00:10:06Z,single,Billie Eilish,lovely (with Khalid),favourite,88,2018-04-19,0.934,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,0.351,200186,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,audio_features,spotify:track:0u2P5u6lvoDfwTYjAADbn4,0.12
1pzScQVmlD48IRUaVfhvBf,2018-09-14T00:10:06Z,album,Odette,To A Stranger,favourite,60,2018-07-06,0.734,https://api.spotify.com/v1/audio-analysis/1pzScQVmlD48IRUaVfhvBf,0.7,212120,0.499,0.000425,6,0.125,-7.318,1,0.156,180.269,3,https://api.spotify.com/v1/tracks/1pzScQVmlD48IRUaVfhvBf,audio_features,spotify:track:1pzScQVmlD48IRUaVfhvBf,0.442
1uedxzg11sj7xpLW7N6EiR,2018-09-14T00:10:06Z,single,Kito,Strawberries,favourite,54,2018-08-23,0.0737,https://api.spotify.com/v1/audio-analysis/1uedxzg11sj7xpLW7N6EiR,0.481,183840,0.593,0.0,9,0.46,-6.429,1,0.158,142.002,4,https://api.spotify.com/v1/tracks/1uedxzg11sj7xpLW7N6EiR,audio_features,spotify:track:1uedxzg11sj7xpLW7N6EiR,0.33
2sjcqzsTCduJOQ7bHLQdEK,2018-09-14T00:10:06Z,single,Tash Sultana,Salvation,favourite,62,2018-06-20,0.0696,https://api.spotify.com/v1/audio-analysis/2sjcqzsTCduJOQ7bHLQdEK,0.509,259401,0.555,0.000382,5,0.092,-7.809,0,0.0632,163.959,4,https://api.spotify.com/v1/tracks/2sjcqzsTCduJOQ7bHLQdEK,audio_features,spotify:track:2sjcqzsTCduJOQ7bHLQdEK,0.373
